mutants,Replicate,conditions,PRCI_circular,Phage_circular
E99,7th,2hour,2170974.2,222810.83
E99,7th,2hour,2625117.5,202171.06
E99,7th,2hour,2382437.8,194443.56
E1,7th,2hour,1965682.6,182435.55
E1,7th,2hour,2296122.2,142003.48
E1,7th,2hour,2606089.5,118346.164
E99,7th,4hour,3862776.8,8254122.5
E99,7th,4hour,2003289.8,8227876
E99,7th,4hour,3431824.8,7489758.5
E1,7th,4hour,501388.34,1678233.4
E1,7th,4hour,3767150.5,1197081.1
E1,7th,4hour,2123534.8,1287074.2
E99,6th,2hour,5376673,338383.06
E99,6th,2hour,7153499,427314.16
E99,6th,2hour,6343731.5,405912.94
E1,6th,2hour,5348976.5,314564.34
E1,6th,2hour,6552256.5,185185.42
E1,6th,2hour,5006201,270008.88
E99,6th,4hour,5405516.5,4133142.8
E99,6th,4hour,3518626.5,3993150.5
E99,6th,4hour,5450914.5,3454722.8
E1,6th,4hour,3726532.8,1322907.9
E1,6th,4hour,6023305,982171.1
E1,6th,4hour,5911607.5,1036607.1