donor,conditions,Transformation_efficiency
E99_CSP,PRCI_Chl,4.70085E-07
E90_CSP,PRCI_Chl,3.65854E-06
E50_CSP,PRCI_Chl,0.000154545
E10_CSP,PRCI_Chl,0.000248148
E1_CSP,PRCI_Chl,0.000256522
E99_CSP,Phage_Kan,5.21368E-06
E90_CSP,Phage_Kan,7.43902E-05
E50_CSP,Phage_Kan,0.000618182
E10_CSP,Phage_Kan,0.000992593
E1_CSP,Phage_Kan,0.001478261
E99_CSP,PRCI_Phage_Chl_Kan,0
E90_CSP,PRCI_Phage_Chl_Kan,0
E50_CSP,PRCI_Phage_Chl_Kan,1.51515E-07
E10_CSP,PRCI_Phage_Chl_Kan,9.87654E-07
E1_CSP,PRCI_Phage_Chl_Kan,2.17391E-06
E99_CSP,PRCI_Chl,5.24194E-07
E90_CSP,PRCI_Chl,1.94954E-06
E50_CSP,PRCI_Chl,2.03125E-05
E10_CSP,PRCI_Chl,0.000076
E1_CSP,PRCI_Chl,8.95349E-05
E99_CSP,Phage_Kan,3.3871E-06
E90_CSP,Phage_Kan,1.90367E-05
E50_CSP,Phage_Kan,0.00008125
E10_CSP,Phage_Kan,0.001008
E1_CSP,Phage_Kan,0.000781395
E99_CSP,PRCI_Phage_Chl_Kan,0
E90_CSP,PRCI_Phage_Chl_Kan,1.52905E-08
E50_CSP,PRCI_Phage_Chl_Kan,7.8125E-08
E10_CSP,PRCI_Phage_Chl_Kan,0.0000013
E1_CSP,PRCI_Phage_Chl_Kan,1.51163E-06
E99_CSP,PRCI_Chl,1.86047E-06
E90_CSP,PRCI_Chl,1.47059E-05
E50_CSP,PRCI_Chl,4.28571E-05
E10_CSP,PRCI_Chl,1.07143E-05
E1_CSP,PRCI_Chl,0.0003625
E99_CSP,Phage_Kan,7.2093E-06
E90_CSP,Phage_Kan,5.58824E-05
E50_CSP,Phage_Kan,0.0004
E10_CSP,Phage_Kan,0.000148571
E1_CSP,Phage_Kan,0.002325
E99_CSP,PRCI_Phage_Chl_Kan,0
E90_CSP,PRCI_Phage_Chl_Kan,0
E50_CSP,PRCI_Phage_Chl_Kan,0
E10_CSP,PRCI_Phage_Chl_Kan,2.38095E-08
E1_CSP,PRCI_Phage_Chl_Kan,0.000000625