mutants,deletion_rates
Control,0.000000000000
CSP,0.000000000000
CSP_DnaseI,0.000000000000
E99+CSP,0.000002500000
E90+CSP,0.000023125000
E50+CSP,0.000039393939
E10+CSP,0.000062616822
E1+CSP,0.000112280702
E99,0.000000000000
E90,0.000000044643
E50,0.000000035714
E10,0.000000314286
E1,0.000000531915
Control,0.000000000000
CSP,0.000000000000
CSP_DnaseI,0.000000162338
E99+CSP,0.000001892857
E90+CSP,0.000028571429
E50+CSP,0.000158139535
E10+CSP,0.000158823529
E1+CSP,0.000229166667
E99,0.000000030488
E90,0.000000070755
E50,0.000000062500
E10,0.000000103093
E1,0.000000000000
Control,0.000000000000
CSP,0.000000000000
CSP_DnaseI,0.000000000000
E99+CSP,0.000046551724
E90+CSP,0.001102040816
E50+CSP,0.003250000000
E10+CSP,0.008181818182
E1+CSP,0.009957446809
E99,0.000000000000
E90,0.000000000000
E50,0.000000471698
E10,0.000005600000
E1,0.000010689655
Control,0.000000347222
CSP,0.000000052966
CSP_DnaseI,0.000000108696
E99+CSP,0.000012631579
E90+CSP,0.000493055556
E50+CSP,0.003666666667
E10+CSP,0.006181818182
E1+CSP,0.008827586207
E99,0.000000297619
E90,0.000000065104
E50,0.000000051230
E10,0.000000413223
E1,0.000000032895